clave,valor,descripcion,valor actual
buildings.TH-68.units.68-102.phase,,TH-68 · apto 68-102 · fase,Obra común
buildings.TH-68.units.68-201.progress,,TH-68 · apto 68-201 · avance (%),0
buildings.TH-68.units.68-201.phase,,TH-68 · apto 68-201 · fase,Obra común
buildings.TH-68.units.68-202.progress,,TH-68 · apto 68-202 · avance (%),0
buildings.TH-68.units.68-202.phase,,TH-68 · apto 68-202 · fase,Obra común
buildings.TH-68.units.68-301.progress,,TH-68 · apto 68-301 · avance (%),0
buildings.TH-68.units.68-301.phase,,TH-68 · apto 68-301 · fase,Obra común
buildings.TH-68.units.68-302.progress,,TH-68 · apto 68-302 · avance (%),0
buildings.TH-68.units.68-302.phase,,TH-68 · apto 68-302 · fase,Obra común
buildings.TH-69.units.69-101.progress,,TH-69 · apto 69-101 · avance (%),0
buildings.TH-69.units.69-101.phase,,TH-69 · apto 69-101 · fase,Obra común
buildings.TH-69.units.69-102.progress,,TH-69 · apto 69-102 · avance (%),0
buildings.TH-69.units.69-102.phase,,TH-69 · apto 69-102 · fase,Obra común
buildings.TH-69.units.69-201.progress,,TH-69 · apto 69-201 · avance (%),0
buildings.TH-69.units.69-201.phase,,TH-69 · apto 69-201 · fase,Obra común
buildings.TH-69.units.69-202.progress,,TH-69 · apto 69-202 · avance (%),0
buildings.TH-69.units.69-202.phase,,TH-69 · apto 69-202 · fase,Obra común
buildings.TH-69.units.69-301.progress,,TH-69 · apto 69-301 · avance (%),0
buildings.TH-69.units.69-301.phase,,TH-69 · apto 69-301 · fase,Obra común
buildings.TH-69.units.69-302.progress,,TH-69 · apto 69-302 · avance (%),0
buildings.TH-69.units.69-302.phase,,TH-69 · apto 69-302 · fase,Obra común
